,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,House_Age,Total_SFT
0,60,RL,8450,Reg,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,0.0,5,0,150,856,GasA,5,Y,SBrkr,0,1710,1,0,2,1,3,1,4,Typ,0,Attchd,RFn,2,548,3,3,Y,0,61,0,0,2,2008,WD,Normal,208500,17,1710
1,20,RL,9600,Reg,Lvl,FR2,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,3.0,4,0,284,1262,GasA,5,Y,SBrkr,0,1262,0,1,2,0,3,1,3,Typ,1,Attchd,RFn,2,460,3,3,Y,298,0,0,0,5,2007,WD,Normal,181500,44,1262
2,60,RL,11250,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,1.0,5,0,434,920,GasA,5,Y,SBrkr,0,1786,1,0,2,1,3,1,4,Typ,1,Attchd,RFn,2,608,3,3,Y,0,42,0,0,9,2008,WD,Normal,223500,19,1786
3,70,RL,9550,IR1,Lvl,Corner,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,0.0,4,0,540,756,GasA,4,Y,SBrkr,0,1717,1,0,1,0,3,1,4,Typ,1,Detchd,Unf,3,642,3,3,Y,0,35,272,0,2,2006,WD,Abnorml,140000,105,1717
4,60,RL,14260,IR1,Lvl,FR2,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,2.0,5,0,490,1145,GasA,5,Y,SBrkr,0,2198,1,0,2,1,4,1,4,Typ,1,Attchd,RFn,3,836,3,3,Y,192,84,0,0,12,2008,WD,Normal,250000,20,2198
5,50,RL,14115,IR1,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,0.0,5,0,64,796,GasA,5,Y,SBrkr,0,1362,1,0,1,1,1,1,3,Typ,0,Attchd,Unf,2,480,3,3,Y,40,30,0,0,10,2009,WD,Normal,143000,27,1362
6,20,RL,10084,Reg,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,2.0,5,0,317,1686,GasA,5,Y,SBrkr,0,1694,1,0,2,0,3,1,4,Typ,1,Attchd,RFn,2,636,3,3,Y,255,57,0,0,8,2007,WD,Normal,307000,16,1694
7,60,RL,10382,IR1,Lvl,Corner,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,1.0,4,3,216,1107,GasA,5,Y,SBrkr,0,2090,1,0,2,1,3,1,3,Typ,2,Attchd,RFn,2,484,3,3,Y,235,204,228,0,11,2009,WD,Normal,200000,47,2090
8,50,RM,6120,Reg,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,0.0,0,0,952,952,GasA,4,Y,FuseF,0,1774,0,0,2,0,2,2,3,Min1,2,Detchd,Unf,2,468,2,3,Y,90,0,205,0,4,2008,WD,Abnorml,129900,89,1774
9,190,RL,7420,Reg,Lvl,Corner,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0.0,5,0,140,991,GasA,5,Y,SBrkr,0,1077,1,0,1,0,2,2,3,Typ,2,Attchd,RFn,1,205,4,3,Y,0,4,0,0,1,2008,WD,Normal,118000,81,1077
10,20,RL,11200,Reg,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0.0,2,0,134,1040,GasA,5,Y,SBrkr,0,1040,1,0,1,0,3,1,3,Typ,0,Detchd,Unf,1,384,3,3,Y,0,0,0,0,2,2008,WD,Normal,129500,55,1040
11,60,RL,11924,IR1,Lvl,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,0.0,5,0,177,1175,GasA,5,Y,SBrkr,0,2324,1,0,3,0,4,1,5,Typ,2,BuiltIn,Fin,3,736,3,3,Y,147,21,0,0,7,2006,New,Partial,345000,15,2324
12,20,RL,12968,IR2,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,0.0,4,0,175,912,GasA,3,Y,SBrkr,0,912,1,0,1,0,2,1,3,Typ,0,Detchd,Unf,1,352,3,3,Y,140,0,0,176,9,2008,WD,Normal,144000,58,912
13,20,RL,10652,IR1,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,2.0,0,0,1494,1494,GasA,5,Y,SBrkr,0,1494,0,0,2,0,3,1,4,Typ,1,Attchd,RFn,3,840,3,3,Y,160,33,0,0,8,2007,New,Partial,279500,14,1494
14,20,RL,10920,IR1,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0.0,3,0,520,1253,GasA,3,Y,SBrkr,0,1253,1,0,1,1,2,1,3,Typ,1,Attchd,RFn,1,352,3,3,Y,0,213,176,0,5,2008,WD,Normal,157000,60,1253
15,45,RM,6120,Reg,Lvl,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0.0,0,0,832,832,GasA,5,Y,FuseA,0,854,0,0,1,0,2,1,3,Typ,0,Detchd,Unf,2,576,3,3,Y,48,112,0,0,7,2007,WD,Normal,132000,91,854
16,20,RL,11241,IR1,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0.0,4,0,426,1004,GasA,5,Y,SBrkr,0,1004,1,0,1,0,2,1,3,Typ,1,Attchd,Fin,2,480,3,3,Y,0,0,0,0,3,2010,WD,Normal,149000,50,1004
